,Random (1),Cooperate (1),Cooperate (2),Defect (2),Defect (3),Unforgiving (3),Cooperate (4),Unforgiving (4),Random (5),Defect (5)
93,2.008130081,1.412844037,0.916666667,1.981132075,1.795698925,1.120879121,2,2,0.873873874,1.603448276
94,2.008130081,1.412844037,0.907216495,1.990654206,1.808510638,1.108695652,2,2,0.873873874,1.615384615
95,2.008130081,1.412844037,0.95049505,1.990654206,1.808510638,1.108695652,2,2,0.875,1.615384615
96,2.008130081,1.423423423,0.932038835,2.009174312,1.821052632,1.096774194,2,2,0.885964912,1.615384615
97,2.008130081,1.423423423,0.932038835,2.009174312,1.833333333,1.085106383,2,2,0.885964912,1.590163934
98,2.016129032,1.410714286,0.971962617,2.009174312,1.833333333,1.085106383,2,2,0.896551724,1.580645161
99,2.016,1.415929204,0.972972973,2.027027027,1.845360825,1.073684211,2,2,0.906779661,1.571428571
100,2.016,1.435897436,0.972972973,2.027027027,1.845360825,1.092783505,2,2,0.906779661,1.571428571
101,2.016,1.445378151,0.972972973,1.991304348,1.845360825,1.092783505,2,2,0.917355372,1.571428571
102,2.016,1.445378151,0.991150442,1.991304348,1.845360825,1.092783505,2,2,0.918032787,1.571428571
103,2.023809524,1.442622951,1.008695652,1.974358974,1.845360825,1.111111111,2,2,0.918032787,1.582677165
104,2.0234375,1.451612903,1.008695652,1.957983193,1.84,1.1,2,2,0.910569106,1.569230769
105,2.015267176,1.44,0.991452991,1.975206612,1.823529412,1.150943396,2,2,0.910569106,1.569230769
106,2.022727273,1.428571429,1.016393443,1.967741935,1.823529412,1.166666667,2,2,0.912698413,1.580152672
107,2.030075188,1.417322835,1.024,1.976,1.823529412,1.166666667,2,2,0.912698413,1.571428571
108,2.030075188,1.426356589,1.015873016,1.984126984,1.823529412,1.181818182,2,2,0.905511811,1.582089552
109,2.029411765,1.415384615,1.007874016,1.992125984,1.807692308,1.196428571,2,2,0.905511811,1.573529412
110,2.029411765,1.415384615,1.007874016,1.992125984,1.811320755,1.198275862,2,2,0.906976744,1.583941606
111,2.029411765,1.415384615,1,1.984615385,1.833333333,1.177966102,2,2,0.917293233,1.575539568
112,2.02919708,1.419847328,1,1.984615385,1.825688073,1.176470588,2,2,0.917293233,1.575539568
113,2.028776978,1.428571429,1,1.96969697,1.836363636,1.166666667,2,2,0.917293233,1.573426573
114,2.035714286,1.426470588,0.992248062,1.962962963,1.846846847,1.157024793,2,2,0.926470588,1.573426573
115,2.035714286,1.426470588,1.007633588,1.962962963,1.846846847,1.157024793,2,2,0.926470588,1.573426573
116,2.035714286,1.426470588,1.022556391,1.962962963,1.842105263,1.161290323,2,2,0.927007299,1.575342466
117,2.028169014,1.434782609,1.037037037,1.948905109,1.842105263,1.161290323,2,2,0.928057554,1.575342466
118,2.034722222,1.428571429,1.037037037,1.948905109,1.820512821,1.16,2,2,0.921428571,1.571428571
119,2.02739726,1.428571429,1.051094891,1.948905109,1.813559322,1.158730159,2,2,0.921985816,1.563758389
120,2.02739726,1.428571429,1.051094891,1.921985816,1.813559322,1.158730159,2,2,0.921985816,1.573333333
121,2.02739726,1.428571429,1.051094891,1.921985816,1.816666667,1.1484375,2,2,0.931506849,1.569536424
122,2.02739726,1.436619718,1.051094891,1.921985816,1.81300813,1.139534884,2,2,0.939597315,1.562091503
123,2.02739726,1.436619718,1.043478261,1.929577465,1.80952381,1.130769231,2,2,0.947368421,1.551282051
124,2.027210884,1.448275862,1.04964539,1.937062937,1.80952381,1.130769231,2,2,0.961038961,1.540880503
125,2.02,1.452054795,1.04964539,1.937062937,1.80952381,1.130769231,2,2,0.961038961,1.5375
126,2.04516129,1.417218543,1.062937063,1.924137931,1.80952381,1.143939394,2,2,0.955974843,1.530864198
127,2.051282051,1.407894737,1.062937063,1.924137931,1.818897638,1.135338346,2,2,0.95,1.524390244
128,2.051282051,1.407894737,1.068493151,1.931506849,1.815384615,1.126865672,2,2,0.950310559,1.520710059
129,2.063291139,1.38961039,1.068493151,1.931506849,1.818181818,1.117647059,2,2,0.957055215,1.523255814
130,2.062893082,1.401273885,1.073825503,1.926174497,1.818181818,1.117647059,2,2,0.951219512,1.520231214
131,2.062893082,1.401273885,1.098039216,1.926174497,1.818181818,1.117647059,2,2,0.951219512,1.520231214
132,2.062893082,1.401273885,1.098039216,1.926174497,1.814814815,1.109489051,2,2,0.952095808,1.528735632
133,2.068322981,1.396226415,1.102564103,1.933333333,1.814814815,1.122302158,2,2,0.946428571,1.528735632
134,2.061349693,1.396226415,1.113924051,1.933333333,1.797101449,1.133802817,2,2,0.946428571,1.525714286
135,2.061349693,1.396226415,1.113924051,1.933333333,1.8,1.125,2,2,0.946428571,1.534090909
