,Random (1),Cooperate (1),Cooperate (2),Defect (2),Defect (3),Unforgiving (3),Cooperate (4),Unforgiving (4),Random (5),Defect (5)
153,2.032432432,2.363636364,1.540540541,1.473684211,1.427184466,1.21686747,3,3,0.969230769,1.274509804
154,2.032432432,2.363636364,1.56,1.473684211,1.427184466,1.21686747,3,3,0.969230769,1.270967742
155,2.037634409,2.36746988,1.549668874,1.470967742,1.423076923,1.238095238,3,3,0.969543147,1.269230769
156,2.037433155,2.353293413,1.519480519,1.475,1.423076923,1.238095238,3,3,0.97,1.259259259
157,2.037234043,2.339285714,1.52866242,1.47826087,1.419047619,1.223529412,3,3,0.97029703,1.259259259
158,2.037234043,2.347058824,1.52866242,1.47826087,1.424528302,1.222222222,3,3,0.97029703,1.256097561
159,2.042328042,2.358381503,1.5375,1.481481481,1.422535211,1.220930233,3,3,0.970873786,1.256097561
160,2.042328042,2.365714286,1.5375,1.481481481,1.420560748,1.220930233,3,3,0.970873786,1.256097561
161,2.047368421,2.369318182,1.555555556,1.481481481,1.420560748,1.220930233,3,3,0.970873786,1.253012048
162,2.047368421,2.369318182,1.54601227,1.484662577,1.420560748,1.220930233,3,3,0.970873786,1.25
163,2.036458333,2.376404494,1.54601227,1.484662577,1.416666667,1.206896552,3,3,0.970873786,1.25443787
164,2.030769231,2.379888268,1.54601227,1.484662577,1.422018349,1.186440678,3,3,0.966183575,1.258823529
165,2.040609137,2.379888268,1.54601227,1.484662577,1.429864253,1.185393258,3,3,0.961538462,1.258823529
166,2.040609137,2.386740331,1.54601227,1.484662577,1.424107143,1.185393258,3,3,0.961538462,1.255813953
167,2.040609137,2.386740331,1.536585366,1.487804878,1.424107143,1.225274725,3,3,0.961538462,1.255813953
168,2.024752475,2.39010989,1.554216867,1.481927711,1.424107143,1.218579235,3,3,0.961538462,1.252873563
169,2.024752475,2.39673913,1.554216867,1.481927711,1.426666667,1.211956522,3,3,0.961904762,1.25
170,2.024752475,2.39673913,1.554216867,1.481927711,1.42920354,1.231182796,3,3,0.962264151,1.25
171,2.014705882,2.39673913,1.554216867,1.481927711,1.42920354,1.22459893,3,3,0.962264151,1.25
172,2.014705882,2.39673913,1.554216867,1.481927711,1.431718062,1.223404255,3,3,0.962264151,1.25
173,2.019512195,2.4,1.54491018,1.48502994,1.429824561,1.223404255,3,3,0.962264151,1.25
174,2.019417476,2.387096774,1.535714286,1.482352941,1.429824561,1.223404255,3,3,0.962264151,1.247191011
175,2.019417476,2.387096774,1.543859649,1.485380117,1.429824561,1.215789474,3,3,0.962264151,1.247191011
176,2.028846154,2.393617021,1.543859649,1.485380117,1.430434783,1.203125,3,3,0.962264151,1.247191011
177,2.033492823,2.396825397,1.551724138,1.488372093,1.435344828,1.203125,3,3,0.963302752,1.247191011
178,2.033492823,2.396825397,1.542857143,1.49132948,1.435344828,1.203125,3,3,0.963302752,1.247191011
179,2.047169811,2.4,1.550561798,1.494252874,1.435344828,1.196891192,3,3,0.963302752,1.251396648
180,2.047169811,2.4,1.541899441,1.497142857,1.43776824,1.196891192,3,3,0.95890411,1.248618785
181,2.051643192,2.409326425,1.541899441,1.497142857,1.43776824,1.190721649,3,3,0.95890411,1.248618785
182,2.056074766,2.412371134,1.541899441,1.497142857,1.436440678,1.190721649,3,3,0.95890411,1.247252747
183,2.060465116,2.415384615,1.541899441,1.497142857,1.436440678,1.190721649,3,3,0.959090909,1.245901639
184,2.050691244,2.415384615,1.533333333,1.5,1.436440678,1.190721649,3,3,0.959641256,1.245901639
185,2.059360731,2.415384615,1.533333333,1.5,1.436440678,1.203045685,3,3,0.96,1.245901639
186,2.058295964,2.415384615,1.533333333,1.5,1.438818565,1.202020202,3,3,0.96,1.248648649
187,2.058295964,2.415384615,1.524861878,1.502824859,1.43697479,1.213930348,3,3,0.955947137,1.248648649
188,2.058295964,2.415384615,1.540983607,1.502824859,1.439330544,1.231527094,3,3,0.955947137,1.251336898
189,2.058295964,2.421319797,1.556756757,1.502824859,1.435684647,1.231527094,3,3,0.952380952,1.248677249
190,2.0625,2.424242424,1.548387097,1.505617978,1.435684647,1.225490196,3,3,0.952380952,1.252631579
191,2.062222222,2.412060302,1.548387097,1.505617978,1.438016529,1.219512195,3,3,0.948275862,1.252631579
192,2.066371681,2.415,1.531914894,1.511111111,1.440329218,1.207729469,3,3,0.948275862,1.251308901
193,2.057017544,2.420792079,1.5,1.52173913,1.444897959,1.207729469,3,3,0.948497854,1.251308901
194,2.057017544,2.420792079,1.492227979,1.524324324,1.444897959,1.201923077,3,3,0.948497854,1.251308901
195,2.056768559,2.414634146,1.5,1.52688172,1.443548387,1.219047619,3,3,0.948497854,1.248704663
196,2.056521739,2.402912621,1.515151515,1.521276596,1.443548387,1.213270142,3,3,0.94893617,1.24742268
197,2.056521739,2.402912621,1.507537688,1.523809524,1.445783133,1.213270142,3,3,0.949579832,1.24742268
198,2.047413793,2.402912621,1.507537688,1.523809524,1.445783133,1.213270142,3,3,0.949579832,1.24742268
199,2.047008547,2.379807692,1.507537688,1.518324607,1.438735178,1.20754717,3,3,0.949579832,1.244897959
200,2.042194093,2.388625592,1.507537688,1.518324607,1.440944882,1.20754717,3,3,0.983606557,1.248730964
201,2.045833333,2.369158879,1.52238806,1.512953368,1.4375,1.20754717,3,3,0.979591837,1.246231156
202,2.057377049,2.361111111,1.52238806,1.512953368,1.4375,1.224299065,3,3,0.979591837,1.246231156
203,2.06122449,2.375565611,1.529411765,1.515463918,1.4375,1.224299065,3,3,0.979757085,1.246231156
204,2.064777328,2.367713004,1.529411765,1.515463918,1.434108527,1.224299065,3,3,0.979757085,1.245
205,2.056,2.362831858,1.529411765,1.515463918,1.434108527,1.224299065,3,3,0.98,1.245
206,2.047619048,2.362831858,1.557692308,1.515463918,1.434108527,1.224299065,3,3,0.98,1.245
207,2.04743083,2.352422907,1.550239234,1.517948718,1.430769231,1.224299065,3,3,0.98015873,1.243781095
208,2.04743083,2.352422907,1.535545024,1.52284264,1.430769231,1.218604651,3,3,0.980237154,1.24137931
209,2.031128405,2.352422907,1.528301887,1.525252525,1.429657795,1.218604651,3,3,0.996078431,1.23902439
210,2.030651341,2.352422907,1.528301887,1.525252525,1.426415094,1.218604651,3,3,0.996078431,1.23902439
211,2.038022814,2.352422907,1.528301887,1.52,1.426415094,1.218604651,3,3,0.996078431,1.232227488
212,2.038022814,2.352422907,1.542056075,1.52,1.426415094,1.212962963,3,3,0.996078431,1.232227488
213,2.045283019,2.369098712,1.548387097,1.52238806,1.428571429,1.229357798,3,3,0.996078431,1.230046948
214,2.037174721,2.34893617,1.561643836,1.517241379,1.425373134,1.229357798,3,3,0.996108949,1.226851852
215,2.037174721,2.359832636,1.567567568,1.514563107,1.425373134,1.239819005,3,3,0.996124031,1.226851852
216,2.037174721,2.359832636,1.560538117,1.516908213,1.427509294,1.239819005,3,3,0.996124031,1.230414747
217,2.037174721,2.359832636,1.560538117,1.516908213,1.427509294,1.233183857,3,3,0.992337165,1.230414747
218,2.040740741,2.3625,1.553571429,1.514285714,1.42804428,1.233183857,3,3,1.007604563,1.230414747
219,2.040740741,2.3625,1.553571429,1.514285714,1.42804428,1.233183857,3,3,1.007604563,1.227272727
220,2.047794118,2.3625,1.566371681,1.514285714,1.42804428,1.233183857,3,3,1.007575758,1.227272727
221,2.047794118,2.3625,1.559471366,1.516587678,1.424908425,1.227678571,3,3,1.007575758,1.233183857
222,2.047619048,2.352697095,1.559471366,1.516587678,1.427007299,1.227678571,3,3,1,1.233183857
